"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000119397",2160.00204203013,0.660516483331046,0.116745829233249,5.65773088142948,1.53387399053938e-08,2.36537841350829e-07
"ENSG00000076685",4296.78682712328,-0.598275153307659,0.105746689701474,-5.65762535921082,1.53481706956673e-08,2.36560639214516e-07
"ENSG00000165246",3868.94070268629,0.530305181906737,0.0937429827707331,5.65701203687643,1.54030964797881e-08,2.37284262550107e-07
"ENSG00000138769",106.098133206047,1.80543451979193,0.319247673931671,5.65527854144475,1.5559373225971e-08,2.39567637346252e-07
"ENSG00000171206",2599.61174969642,-0.503277236013038,0.0890397582864606,-5.65227540705899,1.58337619005791e-08,2.43666277939228e-07
"ENSG00000212993",1192.1225202098,-0.741791464029328,0.131253171910324,-5.65160790579706,1.5895385124844e-08,2.4448811856708e-07
"ENSG00000141449",47.7838939158512,3.56574089303151,0.631248002799892,5.64871631627461,1.61650353552133e-08,2.48507135251437e-07
"ENSG00000159164",7415.2467715022,0.478984274600107,0.0848512374910058,5.64498867386441,1.65192123553509e-08,2.5382076959433e-07
"ENSG00000178860",214.441912595484,-1.40372456432675,0.248683942606559,-5.64461279491445,1.65553414639026e-08,2.54244575388079e-07
"ENSG00000120324",163.777363942327,1.56009390382373,0.276483764692679,5.64262391883235,1.6747791234227e-08,2.57067361116899e-07
"ENSG00000015133",6515.72863400478,-0.430673443179352,0.0763483477302467,-5.64090063482453,1.69162968845387e-08,2.595198986201e-07
"ENSG00000123609",372.557032755567,-1.11091658033098,0.196961049764354,-5.64028563850617,1.69768299956026e-08,2.60314310247005e-07
"ENSG00000131873",7572.80798549718,-0.449668360790738,0.0797354437037271,-5.63950408881614,1.7054060281431e-08,2.61363797625826e-07
"ENSG00000173960",2013.50379192594,-0.546752108058055,0.0970275376817481,-5.63501992446115,1.75038098725424e-08,2.68118348238166e-07
"ENSG00000236333",340.915861164374,-1.0586632098651,0.187908549782978,-5.63392783930155,1.76150751134639e-08,2.69683808234796e-07
"ENSG00000244342",429.104385577644,-0.924314357261941,0.16406872844466,-5.63370220531521,1.76381489088485e-08,2.69898156168476e-07
"ENSG00000144749",7315.2519092204,0.527767678126771,0.0936821479438792,5.63359924713653,1.76486873732482e-08,2.69920567245251e-07
"ENSG00000204257",281.429705247756,1.02736332692258,0.182372607099562,5.63332039422849,1.76772605659677e-08,2.70218638260967e-07
"ENSG00000296968",6927.35966108339,-0.52065554420996,0.0924432844815966,-5.63216189396225,1.77964502370834e-08,2.71900875810231e-07
"ENSG00000168398",29.0234614081855,3.8777031947596,0.688804064690585,5.62961717785666,1.80610037056887e-08,2.75801169010842e-07
"ENSG00000087086",19343.1264528467,0.432825344554472,0.0768961406957778,5.62870048663232,1.81572370962127e-08,2.77128441201148e-07
"ENSG00000165030",1068.90448126857,-0.659333526318198,0.117143942386209,-5.62840478890882,1.8188385239788e-08,2.77461484988704e-07
"ENSG00000170779",5273.95558024607,-0.546731113372205,0.0972483529058691,-5.62200898046479,1.88749450260282e-08,2.87787283285116e-07
"ENSG00000130024",4243.65939584461,-0.444238986850617,0.0790301909075152,-5.62113012444177,1.8971230663259e-08,2.89107171383179e-07
"ENSG00000185518",78.1590494310486,2.3630866610691,0.420850154990036,5.61503098680111,1.96527023341821e-08,2.99338933095195e-07
"ENSG00000102858",4534.12588042432,-0.457359835866873,0.0815035231087526,-5.61153454994337,2.00540237794232e-08,3.05295314926563e-07
"ENSG00000106123",1778.02298000558,0.655524873414211,0.116839626628025,5.61046703359611,2.01781309869271e-08,3.07027551134589e-07
"ENSG00000124357",2102.96938386607,-0.531701587002483,0.0948228646703914,-5.6073141098479,2.0549052533107e-08,3.12511587782379e-07
"ENSG00000219438",2735.32540408345,-0.593666231733228,0.105882619912932,-5.60683360707739,2.06061588000989e-08,3.13219931439215e-07
"ENSG00000175697",198.409320427063,1.38761096000342,0.247492593403273,5.6066767127144,2.06248385539706e-08,3.13343755089358e-07
"ENSG00000005059",1358.49438548808,-0.609547937279815,0.108728722225238,-5.60613538727236,2.06894147482084e-08,3.14164380048471e-07
"ENSG00000248605",4291.46369764568,1.41820156440185,0.25302212314393,5.60504965644885,2.08195267391391e-08,3.15978807096515e-07
"ENSG00000176986",3458.80294410753,-0.458365244603613,0.0818373898653814,-5.60092697674745,2.13208546177672e-08,3.23422469308884e-07
"ENSG00000088305",90719.3116156739,-0.486984738766633,0.0869753095774008,-5.59911475029884,2.15449155366771e-08,3.26654741319844e-07
"ENSG00000175155",392.920172902515,0.936592760902088,0.167292421244615,5.59853670557257,2.16168637145917e-08,3.27578627059582e-07
